,Single-ended 12 Ave. (V),Differential 13 - 14 Last (V),Differential 13 - 14 Ave. (V),Differential 13 - 14 Min. (V),Differential 13 - 14 Max. (V),Differential 15 - 16 Last (V),Differential 15 - 16 Ave. (V),Differential 15 - 16 Min. (V),Differential 15 - 16 Max. (V)
00:00:00,22.145192048787997,21.768533280496563,21.768533280496563,21.768533280496563,21.768533280496563,21.49656082660694,21.49656082660694,21.49656082660694,21.49656082660694
00:00:01,22.145192048787997,21.793250246100897,21.793250246100897,21.793250246100897,21.793250246100897,21.471828248992836,21.471828248992836,21.471828248992836,21.471828248992836
00:00:02,22.145192048787997,21.743815015191437,21.743815015191437,21.743815015191437,21.743815015191437,21.52129210191935,21.52129210191935,21.52129210191935,21.52129210191935
00:00:03,22.19262603350229,21.76651818252846,21.76651818252846,21.76651818252846,21.76651818252846,21.51927594340416,21.51927594340416,21.51927594340416,21.51927594340416
00:00:04,22.2210868377803,21.770255287468625,21.770255287468625,21.770255287468625,21.770255287468625,21.52301501517572,21.52301501517572,21.52301501517572,21.52301501517572
00:00:05,22.230573841449726,21.75502282699166,21.75502282699166,21.75502282699166,21.75502282699166,21.557234605497236,21.557234605497236,21.557234605497236,21.557234605497236
00:00:06,22.240060879574706,21.739790092683172,21.739790092683172,21.739790092683172,21.739790092683172,21.715070315753934,21.715070315753934,21.715070315753934,21.715070315753934
00:00:07,22.287496587043307,21.83665239256207,21.83665239256207,21.83665239256207,21.83665239256207,21.614173444398986,21.614173444398986,21.614173444398986,21.614173444398986
00:00:08,22.268522200686046,21.792965967900724,21.792965967900724,21.792965967900724,21.792965967900724,21.59519371855795,21.59519371855795,21.59519371855795,21.59519371855795
00:00:09,22.296983831908154,21.77199135371491,21.77199135371491,21.77199135371491,21.77199135371491,21.64838793502287,21.64838793502287,21.64838793502287,21.64838793502287
00:00:10,22.287496587043307,21.78722172571527,21.78722172571527,21.78722172571527,21.78722172571527,21.663622312825638,21.663622312825638,21.663622312825638,21.663622312825638
00:00:11,21.395849380182447,21.53903714695914,21.53903714695914,21.53903714695914,21.53903714695914,20.771790019406197,20.771790019406197,20.771790019406197,20.771790019406197
00:00:12,21.642444757424755,22.920885577027306,22.920885577027306,22.920885577027306,22.920885577027306,21.092708029040192,21.092708029040192,21.092708029040192,21.092708029040192
00:00:13,21.72781011924211,24.138593236140547,24.138593236140547,24.138593236140547,24.138593236140547,21.277062962077714,21.277062962077714,21.277062962077714,21.277062962077714
00:00:14,21.50017535292663,24.57625303265535,24.57625303265535,24.57625303265535,24.57625303265535,21.024705080787676,21.024705080787676,21.024705080787676,21.024705080787676
00:00:15,21.547597626900032,25.016250753984586,25.016250753984586,25.016250753984586,25.016250753984586,21.195878472870845,21.195878472870845,21.195878472870845,21.195878472870845
00:00:16,21.68986961405144,25.549819983929787,25.549819983929787,25.549819983929787,25.549819983929787,21.338099758288774,21.338099758288774,21.338099758288774,21.338099758288774
00:00:17,21.509659738855493,25.616509617265624,25.616509617265624,25.616509617265624,25.616509617265624,21.23219729550543,21.23219729550543,21.23219729550543,21.23219729550543
00:00:18,21.424301505037914,25.458411777561025,25.458411777561025,25.458411777561025,25.458411777561025,21.196380125336354,21.196380125336354,21.196380125336354,21.196380125336354
00:00:19,21.65192965987474,25.781903357992586,25.781903357992586,25.781903357992586,25.781903357992586,21.498069938574375,21.498069938574375,21.498069938574375,21.498069938574375
00:00:20,21.528628614011062,25.73334904663489,25.73334904663489,25.73334904663489,25.73334904663489,21.44907367654997,21.44907367654997,21.44907367654997,21.44907367654997
00:00:21,21.310494864753046,25.39475549341527,25.39475549341527,25.39475549341527,25.39475549341527,21.255886149956307,21.255886149956307,21.255886149956307,21.255886149956307
00:00:22,21.462238153532958,25.275221945160343,25.275221945160343,25.275221945160343,25.275221945160343,21.506418064324674,21.506418064324674,21.506418064324674,21.506418064324674
00:00:23,21.519144159216843,25.258007035881093,25.258007035881093,25.258007035881093,25.258007035881093,21.637435770818573,21.637435770818573,21.637435770818573,21.637435770818573
00:00:24,21.803692782743425,25.221118552240053,25.221118552240053,25.221118552240053,25.221118552240053,21.822749073639866,21.822749073639866,21.822749073639866,21.822749073639866
00:00:25,21.898549211917928,25.118882862175376,25.118882862175376,25.118882862175376,25.118882862175376,21.793930160595878,21.793930160595878,21.793930160595878,21.793930160595878
00:00:26,21.395849380182447,24.497294053246204,24.497294053246204,24.497294053246204,24.497294053246204,21.29167511265456,21.29167511265456,21.29167511265456,21.29167511265456
00:00:27,21.263076894451252,24.168838043951215,24.168838043951215,24.168838043951215,24.168838043951215,21.18376614465525,21.18376614465525,21.18376614465525,21.18376614465525
00:00:28,21.22514313785899,23.83595618405063,23.83595618405063,23.83595618405063,23.83595618405063,21.31908773990971,21.31908773990971,21.31908773990971,21.31908773990971
00:00:29,21.38636540742265,23.89769967052132,23.89769967052132,23.89769967052132,23.89769967052132,21.776803209533014,21.776803209533014,21.776803209533014,21.776803209533014
00:00:30,21.3294622938561,23.767327000556975,23.767327000556975,23.767327000556975,23.767327000556975,22.115365525886983,22.115365525886983,22.115365525886983,22.115365525886983
00:00:31,21.24410994730649,23.510153180048214,23.510153180048214,23.510153180048214,23.510153180048214,22.375974950119506,22.375974950119506,22.375974950119506,22.375974950119506
00:00:32,21.34842986066718,23.44148148397513,23.44148148397513,23.44148148397513,23.44148148397513,22.80066603109774,22.80066603109774,22.80066603109774,22.80066603109774
00:00:33,21.38636540742265,23.45457909936681,23.45457909936681,23.45457909936681,23.45457909936681,23.13428899484391,23.13428899484391,23.13428899484391,23.13428899484391
00:00:34,21.253593403666667,23.223976949176144,23.223976949176144,23.223976949176144,23.223976949176144,23.347167761277234,23.347167761277234,23.347167761277234,23.347167761277234
00:00:35,21.319978562091407,23.16680773761635,23.16680773761635,23.16680773761635,23.16680773761635,24.299091064100555,24.299091064100555,24.299091064100555,24.299091064100555
00:00:36,21.367397565188597,23.189347331784834,23.189347331784834,23.189347331784834,23.189347331784834,25.647273503402264,25.647273503402264,25.647273503402264,25.647273503402264
00:00:37,21.291527573355328,23.015253535930754,23.015253535930754,23.015253535930754,23.015253535930754,26.33167042206309,26.33167042206309,26.33167042206309,26.33167042206309
00:00:38,21.3294622938561,22.905083692799604,22.905083692799604,22.905083692799604,22.905083692799604,26.39364054671572,26.39364054671572,26.39364054671572,26.39364054671572
00:00:39,21.433785615515735,22.910324614411195,22.910324614411195,22.910324614411195,22.910324614411195,26.398843065956083,26.398843065956083,26.398843065956083,26.398843065956083
00:00:40,21.357913695713954,22.736115585116355,22.736115585116355,22.736115585116355,22.736115585116355,26.201424513580214,26.201424513580214,26.201424513580214,26.201424513580214
00:00:41,21.680384573850752,22.934024733434534,22.934024733434534,22.934024733434534,22.934024733434534,26.42236953770074,26.42236953770074,26.42236953770074,26.42236953770074
00:00:42,21.90803504427803,23.11152475141215,23.11152475141215,23.11152475141215,23.11152475141215,26.525163565001286,26.525163565001286,26.525163565001286,26.525163565001286
00:00:43,21.74678057847389,22.852229063300918,22.852229063300918,22.852229063300918,22.852229063300918,26.34117326359135,26.34117326359135,26.34117326359135,26.34117326359135
00:00:44,22.050326663284984,23.08078273613863,23.08078273613863,23.08078273613863,23.08078273613863,26.61698704294463,26.61698704294463,26.61698704294463,26.61698704294463
00:00:45,22.07878591719912,23.035199681524592,23.035199681524592,23.035199681524592,23.035199681524592,26.547273529761174,26.547273529761174,26.547273529761174,26.547273529761174
00:00:46,22.059813046805935,22.96697977492284,22.96697977492284,22.96697977492284,22.96697977492284,26.430608334239196,26.430608334239196,26.430608334239196,26.430608334239196
00:00:47,22.03135399959168,22.864633059878944,22.864633059878944,22.864633059878944,22.864633059878944,26.28004246378871,26.28004246378871,26.28004246378871,26.28004246378871
